City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,17.65,100,75,9.26,PT,1682230375
1,port elizabeth,-33.918,25.5701,15.73,95,100,1.15,ZA,1682230208
2,papatowai,-46.5619,169.4708,13.12,69,77,11.83,NZ,1682230376
3,blackmans bay,-43.0167,147.3167,15.97,58,91,2.14,AU,1682230376
4,bethel,41.3712,-73.414,12.65,90,100,2.57,US,1682230377
5,kailua-kona,19.6406,-155.9956,25.98,91,100,4.63,US,1682230377
6,bogoroditsk,53.7717,38.1241,11.9,45,7,1.94,RU,1682230377
7,east london,-33.0153,27.9116,16.52,82,0,1.54,ZA,1682230377
8,edinburgh of the seven seas,-37.0676,-12.3116,15.85,70,66,9.36,SH,1682230377
9,boguchany,58.3814,97.4531,5.05,54,34,2.66,RU,1682230378
10,chornobay,49.6708,32.3239,12.3,61,28,2.42,UA,1682230378
11,salekhard,66.53,66.6019,0.53,98,100,6.7,RU,1682230259
12,atafu village,-8.5421,-172.5159,28.99,73,88,2.99,TK,1682230378
13,thompson,55.7435,-97.8558,-5.91,53,40,1.54,CA,1682230379
14,hithadhoo,-0.6,73.0833,29.24,71,97,2.03,MV,1682230379
15,kutulik,53.3508,102.7839,7.25,34,71,2.95,RU,1682230379
16,kupang,-10.1667,123.5833,34.32,52,20,9.26,ID,1682230246
17,santyoku,37.4406,129.1708,13.75,51,98,2.93,KR,1682230379
18,la'ie,21.6477,-157.9253,25.98,77,62,2.24,US,1682230379
19,lerwick,60.1545,-1.1494,6.0,74,100,15.71,GB,1682230379
20,san pedro de uraba,8.2752,-76.3764,22.99,90,100,0.76,CO,1682230379
21,enewetak,11.3474,162.3373,26.22,84,100,7.66,MH,1682230380
22,three points,32.0767,-111.3137,22.49,19,0,4.12,US,1682230380
23,uturoa,-16.7333,-151.4333,27.81,81,92,8.12,PF,1682230380
24,albany,42.6001,-73.9662,12.07,92,100,2.68,US,1682230380
25,port-aux-francais,-49.35,70.2167,8.83,97,100,15.94,TF,1682230380
26,nemuro,43.3236,145.575,2.45,96,96,2.77,JP,1682230094
27,mont-dore,-22.2833,166.5833,28.33,99,10,2.12,NC,1682230381
28,waitangi,-43.9535,-176.5597,12.68,91,7,0.45,NZ,1682230381
29,puerto natales,-51.7236,-72.4875,5.31,95,100,2.46,CL,1682230382
30,adamstown,-25.066,-130.1015,24.42,88,100,6.99,PN,1682230382
31,pimenta bueno,-11.6725,-61.1936,21.86,99,100,0.78,BR,1682230383
32,kodiak,57.79,-152.4072,5.73,42,0,4.63,US,1682230383
33,gadzhiyevo,69.2551,33.3362,-3.49,79,91,10.47,RU,1682230383
34,ribeira brava,32.65,-17.0667,17.35,77,100,1.88,PT,1682230383
35,margate,51.3813,1.3862,11.06,87,100,2.24,GB,1682230349
36,invercargill,-46.4,168.35,11.68,82,66,0.89,NZ,1682230367
37,keflavik,64.0049,-22.5624,4.24,100,100,4.12,IS,1682230383
38,constantia,44.1833,28.65,13.17,68,77,2.45,RO,1682230147
39,tazovsky,67.4667,78.7,0.69,100,100,5.52,RU,1682230384
40,lobujya,27.95,86.8167,-8.03,80,36,3.08,NP,1682230385
41,dubbo,-32.25,148.6167,25.07,38,75,5.66,AU,1682230130
42,bandar lampung,-5.4254,105.258,31.14,63,30,2.5,ID,1682230277
43,hassi messaoud,31.6804,6.0729,17.92,48,0,2.06,DZ,1682230385
44,taro,-8.3862,115.28,27.0,69,48,1.52,ID,1682230385
